amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Alpha,Beta,Max_Drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,Fund_Score
148567,0.20360678307711866,0.3400091602163293,0.2679927700697151,1.4482911703262602,0.27890018238131786,-1.4324631583039166e-05,-0.11265729075028275,97.5,100.0,92.5,82.5,81.0
120843,0.26657081760850154,0.2958277033726251,0.2674249401072899,1.3067439695428407,0.26069258574047605,2.0470576025226028e-05,-0.1297396816518679,85.0,97.5,85.0,70.0,73.875
148569,0.3975176148971702,0.2917890157839378,0.2762985997578453,1.2349300257743299,0.2958614509435513,-2.1656877854961717e-05,-0.1639674294693263,82.5,95.0,97.5,50.0,73.0
100033,0.5323239623092084,0.32442459421956116,0.260740682788986,1.0936987435346308,0.26513763294976106,1.19852368095744e-05,-0.16217208574644848,92.5,85.0,87.5,52.5,71.75
120505,0.29604659337893646,0.317775371512347,0.2837676208804263,1.1801011976606492,0.27824886410147365,2.4757676750530896e-05,-0.18188513572116294,90.0,90.0,90.0,40.0,71.5
119551,0.6043734071403091,0.3045652442030289,0.22384873172214603,1.208266567372718,0.2221423476212144,1.5281716990304816e-05,-0.1501238549864533,87.5,92.5,77.5,60.0,70.875
120504,0.13064279264417977,0.3248742855621496,0.20234028033314222,1.0265242847993001,0.20293451322522393,1.6351469881022268e-05,-0.12588275606922517,95.0,77.5,67.5,72.5,68.625
119094,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.9982309868636414,0.2548627791767758,6.6433865814595096e-06,-0.20960883862039192,100.0,75.0,80.0,32.5,68.0
101206,0.4792412023860102,0.2896769452874166,0.20442729550832484,1.0272133278753697,0.2084638832063513,1.0627032523163577e-05,-0.11291596329323073,80.0,80.0,70.0,80.0,66.0
149323,0.21481222193726257,0.268699908289022,0.256118065778393,1.1321218524747247,0.2602038354528086,9.80470028282651e-06,-0.17248105753451382,75.0,87.5,82.5,47.5,65.625
149324,0.6513871892998797,0.27000426614519246,0.2791743018490922,0.9497958246616032,0.29600297161636324,8.470800185762732e-06,-0.31171900300634214,77.5,70.0,100.0,10.0,61.75
118632,0.339810484550213,0.22652359830098634,0.2088111809083788,1.0816591793457044,0.2172378301218807,1.3735473143332956e-06,-0.17414075086657232,67.5,82.5,75.0,45.0,60.375
119598,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.9453082575156094,0.29514293226849303,1.2913569161170515e-05,-0.2870600572176455,72.5,67.5,95.0,12.5,58.875
119552,0.05706100044974027,0.16267372294624916,0.18713118910689763,0.9532794968660105,0.19184076651254145,1.0382317156683725e-05,-0.11803493502764295,45.0,72.5,65.0,75.0,52.125
102885,0.20207703983094838,0.1966726206830185,0.1587882255741997,0.8170993373494371,0.1532967338395749,2.8517447224854624e-05,-0.1085986215250232,57.49999999999999,62.5,50.0,85.0,51.375
148568,0.14269394138778924,0.14748035533586012,0.1956595954624316,0.9262873467360146,0.21291563403491556,-8.589678643891722e-06,-0.1527259422823477,42.5,65.0,72.5,55.00000000000001,49.0
118635,0.22493224932249345,0.20008208380471482,0.13914386506748544,0.664856998549062,0.15245254378469922,-1.9476033084582558e-06,-0.1165062450540909,60.0,55.00000000000001,47.5,77.5,49.0
125497,0.2867535802656873,0.18434488610520172,0.16555918956858906,0.7757902498211209,0.1695246831995745,1.594199883625913e-05,-0.15200013055606398,55.00000000000001,57.49999999999999,57.49999999999999,57.49999999999999,48.125
118633,0.25539980483954094,0.2108997654925684,0.14188358083768593,0.6452074382933216,0.15950537219038657,-7.2092709492735875e-06,-0.18629743138595511,65.0,50.0,52.5,37.5,46.25
120503,0.08489081269294418,0.13978381933703043,0.16355566129520227,0.7979728586052847,0.17479241469306583,1.7216209032625439e-06,-0.13897862823061635,40.0,60.0,60.0,67.5,45.75
102887,0.135831349444816,0.25556187904126526,0.146781096489218,0.6195175900829829,0.14810164144013632,2.4964541553620494e-05,-0.21539827112383225,70.0,47.5,45.0,27.500000000000004,44.625
120506,0.4181904829701364,0.1842199653744454,0.1488859671244569,0.6488787755249532,0.16866032864830818,-8.306621887534885e-06,-0.1982565826298267,52.5,52.5,55.00000000000001,35.0,43.375
149322,0.1811115252275146,0.18044206486636138,0.11695026862847113,0.4640374492204777,0.1403420187705693,-1.5013454919186106e-05,-0.14844576917771746,50.0,40.0,42.5,62.5,39.75
120841,0.16837098075385626,0.1726727508371786,0.1181544242649819,0.4942725378672354,0.12420932914141217,1.2613604771213124e-05,-0.1757361416468729,47.5,42.5,40.0,42.5,37.125
119093,0.197667410165155,0.20816771175535864,0.06917406025598449,0.1296144979566933,0.0761056787657296,1.2063897153168888e-05,-0.21751396370148224,62.5,30.0,32.5,25.0,35.25
120507,0.0742505077613469,0.07394286300360076,0.06341690270358713,0.49572339295331147,0.06718957546161722,4.4494286648776814e-07,-0.0009773140045925555,30.0,45.0,22.5,100.0,34.75
118634,0.15811221971300937,0.08007927728656083,0.14274127320122987,0.44843400890899143,0.17855030924433077,-6.166188152947608e-07,-0.2334488614483311,35.0,37.5,62.5,22.5,34.625
125498,0.15443720834451846,0.11245222866621418,0.09880199138430035,0.3006119210425479,0.11066738696945455,1.633260265517202e-05,-0.21117279560132118,37.5,35.0,37.5,30.0,30.5
120844,0.07120323042122512,0.06695971624586994,0.060604313665645115,-0.08874729621557495,0.06440459165072564,2.40383047175318e-07,-0.0011629327956168556,27.500000000000004,17.5,20.0,97.5,26.375
120842,0.2250195657587366,0.07756003551327284,0.05873842419478348,0.07599984804658912,0.07467924324308288,6.739008738076047e-06,-0.24003511326274884,32.5,27.500000000000004,30.0,20.0,24.625
119092,0.016091186722522632,0.005258871209757432,0.055825550357928355,0.030784850954585913,0.07280688625534465,-6.036840596409494e-06,-0.1440161790933726,12.5,25.0,27.500000000000004,65.0,22.0
119120,0.055219955107626895,0.05840358798463097,0.051644356698553606,-0.2265753866279158,0.05669673512017863,-1.1776029814946254e-06,-0.04328728923970093,22.5,10.0,15.0,90.0,21.25
101208,0.0723664530138024,0.06315784491375509,0.05705734207350055,-0.8155673679088286,0.06122876973199783,-6.172389506592562e-07,-0.0016224980244717857,25.0,2.5,17.5,95.0,21.125
118636,0.10454939683040276,0.040622050237771434,0.046639279794601585,-0.3566295075143679,0.04967364033576465,1.912627325651111e-06,-0.08316361763638702,20.0,7.5,10.0,87.5,18.625
101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926,0.16266076928646758,0.10986145021983551,-4.983428560767387e-06,-0.3544691649336603,5.0,32.5,35.0,7.5,17.375
100025,0.03704968580461343,0.039163899571040384,0.03912652604315703,-0.5670947928476847,0.044818315138583635,-3.3770718127144e-06,-0.04308263824636349,17.5,5.0,7.5,92.5,17.25
119095,-0.427976145588544,-0.11705806723995271,0.013376247776951455,-0.07597357117478937,0.06797553326037893,-3.7847623024654286e-05,-0.5167775370852656,2.5,20.0,25.0,5.0,11.25
100016,-0.02224270997710287,0.01292649342495622,0.023168434686413164,-0.20151706755966933,0.03766095903586522,-3.3997164323093836e-06,-0.24734440880673303,15.0,15.0,5.0,17.5,11.0
